country_region_code;country_region;sub_region_1;sub_region_2;metro_area;iso_3166_2_code;census_fips_code;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
AT;Austria;NA;NA;NA;NA;NA;2020-02-15T00:00:00Z;9;1;42;13;0;-2
AT;Austria;NA;NA;NA;NA;NA;2020-02-16T00:00:00Z;15;21;42;12;1;-2
AT;Austria;NA;NA;NA;NA;NA;2020-02-17T00:00:00Z;9;5;35;3;-4;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-18T00:00:00Z;8;5;40;2;-4;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-19T00:00:00Z;4;2;10;-1;-5;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-20T00:00:00Z;4;1;13;2;-5;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-21T00:00:00Z;1;4;7;-2;-5;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-22T00:00:00Z;9;3;52;14;2;-2
AT;Austria;NA;NA;NA;NA;NA;2020-02-23T00:00:00Z;4;23;4;5;2;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-24T00:00:00Z;9;10;25;3;2;-1
AT;Austria;NA;NA;NA;NA;NA;2020-02-25T00:00:00Z;13;10;60;7;0;0
AT;Austria;NA;NA;NA;NA;NA;2020-02-26T00:00:00Z;-3;10;8;-2;0;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-27T00:00:00Z;1;7;9;0;1;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-28T00:00:00Z;-1;9;-1;-2;1;1
AT;Austria;NA;NA;NA;NA;NA;2020-02-29T00:00:00Z;2;3;9;0;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-01T00:00:00Z;0;8;6;1;2;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-02T00:00:00Z;2;6;16;1;3;-1
AT;Austria;NA;NA;NA;NA;NA;2020-03-03T00:00:00Z;-1;4;-1;-3;2;1
AT;Austria;NA;NA;NA;NA;NA;2020-03-04T00:00:00Z;2;5;12;0;2;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-05T00:00:00Z;1;3;4;0;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-06T00:00:00Z;-1;3;-7;-2;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-07T00:00:00Z;4;0;-2;-3;0;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-08T00:00:00Z;14;14;42;5;1;-2
AT;Austria;NA;NA;NA;NA;NA;2020-03-09T00:00:00Z;-1;4;2;-3;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-10T00:00:00Z;-3;10;9;-3;1;0
AT;Austria;NA;NA;NA;NA;NA;2020-03-11T00:00:00Z;-6;17;12;-8;-1;1
AT;Austria;NA;NA;NA;NA;NA;2020-03-12T00:00:00Z;-10;24;18;-9;-3;2
AT;Austria;NA;NA;NA;NA;NA;2020-03-13T00:00:00Z;-20;46;-20;-20;-6;5
AT;Austria;NA;NA;NA;NA;NA;2020-03-14T00:00:00Z;-35;-7;-17;-34;-9;8
AT;Austria;NA;NA;NA;NA;NA;2020-03-15T00:00:00Z;-59;-32;-13;-43;-18;8
AT;Austria;NA;NA;NA;NA;NA;2020-03-16T00:00:00Z;-71;-14;-37;-56;-43;19
AT;Austria;NA;NA;NA;NA;NA;2020-03-17T00:00:00Z;-79;-32;-43;-66;-55;24
AT;Austria;NA;NA;NA;NA;NA;2020-03-18T00:00:00Z;-79;-30;-24;-65;-58;24
AT;Austria;NA;NA;NA;NA;NA;2020-03-19T00:00:00Z;-80;-29;-32;-67;-60;25
AT;Austria;NA;NA;NA;NA;NA;2020-03-20T00:00:00Z;-81;-28;-32;-68;-59;26
AT;Austria;NA;NA;NA;NA;NA;2020-03-21T00:00:00Z;-88;-39;-73;-75;-54;20
AT;Austria;NA;NA;NA;NA;NA;2020-03-22T00:00:00Z;-90;-69;-60;-76;-54;15
AT;Austria;NA;NA;NA;NA;NA;2020-03-23T00:00:00Z;-79;-31;-57;-71;-60;25
AT;Austria;NA;NA;NA;NA;NA;2020-03-24T00:00:00Z;-80;-32;-44;-71;-61;26
AT;Austria;NA;NA;NA;NA;NA;2020-03-25T00:00:00Z;-81;-34;-58;-73;-62;27
AT;Austria;NA;NA;NA;NA;NA;2020-03-26T00:00:00Z;-81;-31;-59;-72;-62;27
AT;Austria;NA;NA;NA;NA;NA;2020-03-27T00:00:00Z;-80;-26;-39;-70;-60;27
AT;Austria;NA;NA;NA;NA;NA;2020-03-28T00:00:00Z;-83;-31;-21;-66;-49;17
AT;Austria;NA;NA;NA;NA;NA;2020-03-29T00:00:00Z;-87;-64;-43;-71;-51;14
AT;Austria;NA;NA;NA;NA;NA;2020-03-30T00:00:00Z;-78;-31;-57;-71;-59;25
AT;Austria;NA;NA;NA;NA;NA;2020-03-31T00:00:00Z;-77;-24;-47;-69;-59;25
AT;Austria;NA;NA;NA;NA;NA;2020-04-01T00:00:00Z;-77;-30;-34;-67;-59;24
AT;Austria;NA;NA;NA;NA;NA;2020-04-02T00:00:00Z;-77;-29;-36;-68;-59;25
AT;Austria;NA;NA;NA;NA;NA;2020-04-03T00:00:00Z;-79;-25;-46;-69;-59;26
AT;Austria;NA;NA;NA;NA;NA;2020-04-04T00:00:00Z;-82;-30;-36;-67;-48;17
AT;Austria;NA;NA;NA;NA;NA;2020-04-05T00:00:00Z;-82;-55;-11;-64;-46;12
AT;Austria;NA;NA;NA;NA;NA;2020-04-06T00:00:00Z;-73;-26;-22;-64;-58;22
AT;Austria;NA;NA;NA;NA;NA;2020-04-07T00:00:00Z;-74;-24;-6;-63;-58;22
AT;Austria;NA;NA;NA;NA;NA;2020-04-08T00:00:00Z;-74;-21;-10;-63;-58;22
AT;Austria;NA;NA;NA;NA;NA;2020-04-09T00:00:00Z;-74;-15;-20;-63;-59;22
AT;Austria;NA;NA;NA;NA;NA;2020-04-10T00:00:00Z;-76;-16;-22;-66;-63;24
AT;Austria;NA;NA;NA;NA;NA;2020-04-11T00:00:00Z;-81;-27;-20;-62;-45;15
AT;Austria;NA;NA;NA;NA;NA;2020-04-12T00:00:00Z;-83;-54;-6;-63;-45;11
AT;Austria;NA;NA;NA;NA;NA;2020-04-13T00:00:00Z;-90;-94;-15;-78;-88;31
AT;Austria;NA;NA;NA;NA;NA;2020-04-14T00:00:00Z;-62;-16;-41;-62;-53;21
AT;Austria;NA;NA;NA;NA;NA;2020-04-15T00:00:00Z;-62;-20;-12;-58;-52;20
AT;Austria;NA;NA;NA;NA;NA;2020-04-16T00:00:00Z;-63;-18;-9;-57;-52;20
AT;Austria;NA;NA;NA;NA;NA;2020-04-17T00:00:00Z;-65;-16;-10;-58;-52;20
AT;Austria;NA;NA;NA;NA;NA;2020-04-18T00:00:00Z;-70;-21;-8;-54;-36;13
AT;Austria;NA;NA;NA;NA;NA;2020-04-19T00:00:00Z;-84;-53;-37;-66;-43;12
AT;Austria;NA;NA;NA;NA;NA;2020-04-20T00:00:00Z;-58;-24;-14;-56;-48;18
AT;Austria;NA;NA;NA;NA;NA;2020-04-21T00:00:00Z;-60;-21;2;-54;-48;18
AT;Austria;NA;NA;NA;NA;NA;2020-04-22T00:00:00Z;-61;-21;7;-54;-48;18
AT;Austria;NA;NA;NA;NA;NA;2020-04-23T00:00:00Z;-62;-18;-3;-54;-48;18
AT;Austria;NA;NA;NA;NA;NA;2020-04-24T00:00:00Z;-64;-17;-10;-56;-49;19
AT;Austria;NA;NA;NA;NA;NA;2020-04-25T00:00:00Z;-68;-19;-7;-52;-33;12
AT;Austria;NA;NA;NA;NA;NA;2020-04-26T00:00:00Z;-73;-36;23;-50;-34;8
AT;Austria;NA;NA;NA;NA;NA;2020-04-27T00:00:00Z;-57;-22;-12;-52;-45;16
AT;Austria;NA;NA;NA;NA;NA;2020-04-28T00:00:00Z;-58;-18;14;-50;-45;15
AT;Austria;NA;NA;NA;NA;NA;2020-04-29T00:00:00Z;-61;-12;-40;-55;-46;18
AT;Austria;NA;NA;NA;NA;NA;2020-04-30T00:00:00Z;-49;13;-10;-49;-45;14
AT;Austria;NA;NA;NA;NA;NA;2020-05-01T00:00:00Z;-83;-90;5;-66;-82;26
AT;Austria;NA;NA;NA;NA;NA;2020-05-02T00:00:00Z;-43;4;-12;-44;-24;8
AT;Austria;NA;NA;NA;NA;NA;2020-05-03T00:00:00Z;-72;-32;-1;-49;-31;7
AT;Austria;NA;NA;NA;NA;NA;2020-05-04T00:00:00Z;-32;-8;-2;-43;-38;12
AT;Austria;NA;NA;NA;NA;NA;2020-05-05T00:00:00Z;-39;-8;-18;-46;-39;14
AT;Austria;NA;NA;NA;NA;NA;2020-05-06T00:00:00Z;-38;-5;1;-43;-38;12
AT;Austria;NA;NA;NA;NA;NA;2020-05-07T00:00:00Z;-39;-5;12;-41;-38;12
AT;Austria;NA;NA;NA;NA;NA;2020-05-08T00:00:00Z;-40;-2;20;-41;-39;12
AT;Austria;NA;NA;NA;NA;NA;2020-05-09T00:00:00Z;-43;-2;18;-35;-19;5
AT;Austria;NA;NA;NA;NA;NA;2020-05-10T00:00:00Z;-64;-25;8;-39;-18;3
AT;Austria;NA;NA;NA;NA;NA;2020-05-11T00:00:00Z;-37;-16;-8;-43;-36;12
AT;Austria;NA;NA;NA;NA;NA;2020-05-12T00:00:00Z;-39;-9;-4;-41;-35;13
AT;Austria;NA;NA;NA;NA;NA;2020-05-13T00:00:00Z;-41;-10;-13;-43;-35;13
AT;Austria;NA;NA;NA;NA;NA;2020-05-14T00:00:00Z;-42;-9;-20;-44;-36;12
AT;Austria;NA;NA;NA;NA;NA;2020-05-15T00:00:00Z;-34;-11;-43;-47;-36;13
AT;Austria;NA;NA;NA;NA;NA;2020-05-16T00:00:00Z;-32;-13;5;-35;-12;5
AT;Austria;NA;NA;NA;NA;NA;2020-05-17T00:00:00Z;-40;-18;47;-31;-13;3
AT;Austria;NA;NA;NA;NA;NA;2020-05-18T00:00:00Z;-20;-11;35;-32;-27;7
AT;Austria;NA;NA;NA;NA;NA;2020-05-19T00:00:00Z;-22;-7;27;-33;-28;8
AT;Austria;NA;NA;NA;NA;NA;2020-05-20T00:00:00Z;-14;22;20;-29;-28;6
AT;Austria;NA;NA;NA;NA;NA;2020-05-21T00:00:00Z;-58;-87;82;-52;-80;20
AT;Austria;NA;NA;NA;NA;NA;2020-05-22T00:00:00Z;-20;2;28;-38;-44;10
AT;Austria;NA;NA;NA;NA;NA;2020-05-23T00:00:00Z;-32;-12;-6;-41;-13;6
AT;Austria;NA;NA;NA;NA;NA;2020-05-24T00:00:00Z;-44;-20;3;-37;-14;4
AT;Austria;NA;NA;NA;NA;NA;2020-05-25T00:00:00Z;-22;-9;-22;-37;-29;9
AT;Austria;NA;NA;NA;NA;NA;2020-05-26T00:00:00Z;-25;-8;-10;-36;-27;9
AT;Austria;NA;NA;NA;NA;NA;2020-05-27T00:00:00Z;-21;-8;38;-30;-26;7
AT;Austria;NA;NA;NA;NA;NA;2020-05-28T00:00:00Z;-26;-6;-27;-36;-28;9
AT;Austria;NA;NA;NA;NA;NA;2020-05-29T00:00:00Z;-23;-1;-6;-33;-28;7
AT;Austria;NA;NA;NA;NA;NA;2020-05-30T00:00:00Z;-24;-2;16;-30;-5;2
AT;Austria;NA;NA;NA;NA;NA;2020-05-31T00:00:00Z;-44;-21;-13;-45;-14;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-01T00:00:00Z;-46;-86;141;-45;-79;16
AT;Austria;NA;NA;NA;NA;NA;2020-06-02T00:00:00Z;-13;9;40;-27;-29;5
AT;Austria;NA;NA;NA;NA;NA;2020-06-03T00:00:00Z;-18;-3;23;-26;-23;5
AT;Austria;NA;NA;NA;NA;NA;2020-06-04T00:00:00Z;-19;-4;10;-25;-23;5
AT;Austria;NA;NA;NA;NA;NA;2020-06-05T00:00:00Z;-20;-3;-13;-30;-24;6
AT;Austria;NA;NA;NA;NA;NA;2020-06-06T00:00:00Z;-20;-11;55;-22;-1;0
AT;Austria;NA;NA;NA;NA;NA;2020-06-07T00:00:00Z;-30;-11;22;-31;-5;2
AT;Austria;NA;NA;NA;NA;NA;2020-06-08T00:00:00Z;-14;-7;-4;-28;-25;5
AT;Austria;NA;NA;NA;NA;NA;2020-06-09T00:00:00Z;-14;-4;8;-27;-25;6
AT;Austria;NA;NA;NA;NA;NA;2020-06-10T00:00:00Z;-9;18;-3;-24;-26;3
AT;Austria;NA;NA;NA;NA;NA;2020-06-11T00:00:00Z;-47;-85;96;-47;-76;17
AT;Austria;NA;NA;NA;NA;NA;2020-06-12T00:00:00Z;-11;0;84;-29;-42;5
AT;Austria;NA;NA;NA;NA;NA;2020-06-13T00:00:00Z;-21;-13;95;-20;-1;-2
AT;Austria;NA;NA;NA;NA;NA;2020-06-14T00:00:00Z;-35;-19;-18;-33;-2;1
AT;Austria;NA;NA;NA;NA;NA;2020-06-15T00:00:00Z;-12;-7;-3;-26;-24;5
AT;Austria;NA;NA;NA;NA;NA;2020-06-16T00:00:00Z;-11;-5;35;-22;-22;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-17T00:00:00Z;-12;-7;35;-22;-23;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-18T00:00:00Z;-14;-7;16;-24;-24;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-19T00:00:00Z;-17;-8;14;-25;-24;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-20T00:00:00Z;-20;-12;-2;-30;-6;2
AT;Austria;NA;NA;NA;NA;NA;2020-06-21T00:00:00Z;-35;-22;-13;-34;-9;2
AT;Austria;NA;NA;NA;NA;NA;2020-06-22T00:00:00Z;-10;-9;50;-22;-24;3
AT;Austria;NA;NA;NA;NA;NA;2020-06-23T00:00:00Z;-9;-8;92;-19;-23;2
AT;Austria;NA;NA;NA;NA;NA;2020-06-24T00:00:00Z;-11;-8;71;-20;-22;2
AT;Austria;NA;NA;NA;NA;NA;2020-06-25T00:00:00Z;-12;-6;26;-22;-24;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-26T00:00:00Z;-14;-7;51;-21;-23;2
AT;Austria;NA;NA;NA;NA;NA;2020-06-27T00:00:00Z;-18;-13;89;-14;-2;-2
AT;Austria;NA;NA;NA;NA;NA;2020-06-28T00:00:00Z;-14;3;79;-11;2;-4
AT;Austria;NA;NA;NA;NA;NA;2020-06-29T00:00:00Z;-11;-8;14;-24;-23;4
AT;Austria;NA;NA;NA;NA;NA;2020-06-30T00:00:00Z;-2;-3;90;-16;-20;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-01T00:00:00Z;-8;-4;57;-17;-21;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-02T00:00:00Z;-7;-3;38;-18;-21;3
AT;Austria;NA;NA;NA;NA;NA;2020-07-03T00:00:00Z;-5;-1;42;-16;-23;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-04T00:00:00Z;-12;-11;102;-9;-2;-3
AT;Austria;NA;NA;NA;NA;NA;2020-07-05T00:00:00Z;-6;12;114;-5;0;-6
AT;Austria;NA;NA;NA;NA;NA;2020-07-06T00:00:00Z;-5;-3;64;-19;-26;3
AT;Austria;NA;NA;NA;NA;NA;2020-07-07T00:00:00Z;2;1;108;-16;-26;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-08T00:00:00Z;-2;-3;107;-17;-25;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-09T00:00:00Z;-6;-5;80;-18;-26;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-10T00:00:00Z;-14;-8;76;-19;-28;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-11T00:00:00Z;-17;-8;-5;-25;-12;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-12T00:00:00Z;0;14;110;-5;-3;-4
AT;Austria;NA;NA;NA;NA;NA;2020-07-13T00:00:00Z;0;-5;110;-18;-31;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-14T00:00:00Z;-1;-5;136;-17;-31;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-15T00:00:00Z;-3;-2;85;-21;-30;3
AT;Austria;NA;NA;NA;NA;NA;2020-07-16T00:00:00Z;-6;-5;32;-24;-32;4
AT;Austria;NA;NA;NA;NA;NA;2020-07-17T00:00:00Z;-11;-7;36;-24;-32;4
AT;Austria;NA;NA;NA;NA;NA;2020-07-18T00:00:00Z;-15;-12;35;-19;-11;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-19T00:00:00Z;-5;14;90;-8;-6;-2
AT;Austria;NA;NA;NA;NA;NA;2020-07-20T00:00:00Z;-2;-6;135;-18;-33;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-21T00:00:00Z;-4;-6;144;-19;-33;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-22T00:00:00Z;-1;-4;114;-20;-31;3
AT;Austria;NA;NA;NA;NA;NA;2020-07-23T00:00:00Z;-5;-7;97;-20;-31;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-24T00:00:00Z;-13;-8;59;-24;-33;4
AT;Austria;NA;NA;NA;NA;NA;2020-07-25T00:00:00Z;-12;-13;114;-8;-7;-2
AT;Austria;NA;NA;NA;NA;NA;2020-07-26T00:00:00Z;-5;17;93;-7;-5;-3
AT;Austria;NA;NA;NA;NA;NA;2020-07-27T00:00:00Z;-1;-6;155;-19;-35;1
AT;Austria;NA;NA;NA;NA;NA;2020-07-28T00:00:00Z;-10;-9;158;-21;-36;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-29T00:00:00Z;-1;-4;125;-21;-35;3
AT;Austria;NA;NA;NA;NA;NA;2020-07-30T00:00:00Z;-5;-6;118;-20;-36;2
AT;Austria;NA;NA;NA;NA;NA;2020-07-31T00:00:00Z;-11;-7;118;-19;-36;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-01T00:00:00Z;-16;-14;135;-4;-8;-5
AT;Austria;NA;NA;NA;NA;NA;2020-08-02T00:00:00Z;-8;18;76;-6;-7;-3
AT;Austria;NA;NA;NA;NA;NA;2020-08-03T00:00:00Z;3;-2;55;-25;-40;6
AT;Austria;NA;NA;NA;NA;NA;2020-08-04T00:00:00Z;1;-4;69;-25;-40;6
AT;Austria;NA;NA;NA;NA;NA;2020-08-05T00:00:00Z;3;-3;108;-22;-39;4
AT;Austria;NA;NA;NA;NA;NA;2020-08-06T00:00:00Z;0;-7;132;-18;-39;2
AT;Austria;NA;NA;NA;NA;NA;2020-08-07T00:00:00Z;-10;-9;128;-19;-39;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-08T00:00:00Z;-15;-15;142;-4;-8;-5
AT;Austria;NA;NA;NA;NA;NA;2020-08-09T00:00:00Z;-2;22;131;-1;-3;-6
AT;Austria;NA;NA;NA;NA;NA;2020-08-10T00:00:00Z;-1;-5;153;-19;-38;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-11T00:00:00Z;1;-3;156;-21;-38;3
AT;Austria;NA;NA;NA;NA;NA;2020-08-12T00:00:00Z;-1;-4;158;-20;-37;2
AT;Austria;NA;NA;NA;NA;NA;2020-08-13T00:00:00Z;-7;-7;89;-23;-38;4
AT;Austria;NA;NA;NA;NA;NA;2020-08-14T00:00:00Z;-4;15;80;-20;-38;3
AT;Austria;NA;NA;NA;NA;NA;2020-08-15T00:00:00Z;-40;-84;111;-12;-31;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-16T00:00:00Z;3;29;115;-1;-5;-4
AT;Austria;NA;NA;NA;NA;NA;2020-08-17T00:00:00Z;3;3;95;-20;-36;3
AT;Austria;NA;NA;NA;NA;NA;2020-08-18T00:00:00Z;2;-2;104;-22;-34;4
AT;Austria;NA;NA;NA;NA;NA;2020-08-19T00:00:00Z;1;-6;138;-20;-34;2
AT;Austria;NA;NA;NA;NA;NA;2020-08-20T00:00:00Z;-5;-10;128;-19;-35;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-21T00:00:00Z;-15;-12;125;-20;-36;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-22T00:00:00Z;-20;-16;78;-15;-9;-2
AT;Austria;NA;NA;NA;NA;NA;2020-08-23T00:00:00Z;-3;14;87;-4;-4;-3
AT;Austria;NA;NA;NA;NA;NA;2020-08-24T00:00:00Z;-1;-5;90;-20;-33;3
AT;Austria;NA;NA;NA;NA;NA;2020-08-25T00:00:00Z;-1;-8;149;-18;-32;2
AT;Austria;NA;NA;NA;NA;NA;2020-08-26T00:00:00Z;-5;-9;132;-20;-32;1
AT;Austria;NA;NA;NA;NA;NA;2020-08-27T00:00:00Z;-5;-9;102;-19;-32;2
AT;Austria;NA;NA;NA;NA;NA;2020-08-28T00:00:00Z;-11;-10;81;-21;-33;2
AT;Austria;NA;NA;NA;NA;NA;2020-08-29T00:00:00Z;-14;-14;45;-16;-11;-1
AT;Austria;NA;NA;NA;NA;NA;2020-08-30T00:00:00Z;-18;-4;23;-15;-10;-1
AT;Austria;NA;NA;NA;NA;NA;2020-08-31T00:00:00Z;-2;-6;49;-21;-31;3
AT;Austria;NA;NA;NA;NA;NA;2020-09-01T00:00:00Z;-4;-6;40;-24;-32;4
AT;Austria;NA;NA;NA;NA;NA;2020-09-02T00:00:00Z;-3;-8;74;-20;-31;2
AT;Austria;NA;NA;NA;NA;NA;2020-09-03T00:00:00Z;-3;-8;77;-18;-31;1
AT;Austria;NA;NA;NA;NA;NA;2020-09-04T00:00:00Z;-6;-9;88;-18;-31;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-05T00:00:00Z;-7;-16;117;-7;-8;-5
AT;Austria;NA;NA;NA;NA;NA;2020-09-06T00:00:00Z;-19;-3;10;-20;-13;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-07T00:00:00Z;2;-4;48;-18;-30;2
AT;Austria;NA;NA;NA;NA;NA;2020-09-08T00:00:00Z;2;-5;112;-13;-28;1
AT;Austria;NA;NA;NA;NA;NA;2020-09-09T00:00:00Z;-1;-9;110;-13;-27;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-10T00:00:00Z;-4;-7;79;-15;-28;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-11T00:00:00Z;-6;-8;85;-14;-28;-2
AT;Austria;NA;NA;NA;NA;NA;2020-09-12T00:00:00Z;-6;-13;112;-8;-8;-5
AT;Austria;NA;NA;NA;NA;NA;2020-09-13T00:00:00Z;3;7;115;-2;-4;-6
AT;Austria;NA;NA;NA;NA;NA;2020-09-14T00:00:00Z;-2;-5;100;-12;-23;-1
AT;Austria;NA;NA;NA;NA;NA;2020-09-15T00:00:00Z;-4;-5;122;-10;-22;-1
AT;Austria;NA;NA;NA;NA;NA;2020-09-16T00:00:00Z;-7;-6;99;-12;-23;-1
AT;Austria;NA;NA;NA;NA;NA;2020-09-17T00:00:00Z;-11;-8;45;-15;-24;1
AT;Austria;NA;NA;NA;NA;NA;2020-09-18T00:00:00Z;-12;-8;68;-14;-24;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-19T00:00:00Z;-11;-14;90;-14;-10;-2
AT;Austria;NA;NA;NA;NA;NA;2020-09-20T00:00:00Z;-3;-2;97;-8;-6;-3
AT;Austria;NA;NA;NA;NA;NA;2020-09-21T00:00:00Z;-10;-8;73;-15;-23;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-22T00:00:00Z;-11;-8;88;-14;-22;1
AT;Austria;NA;NA;NA;NA;NA;2020-09-23T00:00:00Z;-17;-7;34;-17;-22;3
AT;Austria;NA;NA;NA;NA;NA;2020-09-24T00:00:00Z;-16;-10;47;-15;-22;2
AT;Austria;NA;NA;NA;NA;NA;2020-09-25T00:00:00Z;-25;-10;-24;-23;-23;5
AT;Austria;NA;NA;NA;NA;NA;2020-09-26T00:00:00Z;-22;-12;-13;-31;-13;4
AT;Austria;NA;NA;NA;NA;NA;2020-09-27T00:00:00Z;-19;-15;50;-17;-8;0
AT;Austria;NA;NA;NA;NA;NA;2020-09-28T00:00:00Z;-20;-10;-17;-21;-20;4
AT;Austria;NA;NA;NA;NA;NA;2020-09-29T00:00:00Z;-18;-7;11;-19;-19;3
AT;Austria;NA;NA;NA;NA;NA;2020-09-30T00:00:00Z;-16;-6;18;-17;-20;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-01T00:00:00Z;-14;-5;19;-16;-17;1
AT;Austria;NA;NA;NA;NA;NA;2020-10-02T00:00:00Z;-20;-5;9;-17;-18;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-03T00:00:00Z;-18;-10;14;-23;-10;1
AT;Austria;NA;NA;NA;NA;NA;2020-10-04T00:00:00Z;-15;-12;61;-12;-8;-1
AT;Austria;NA;NA;NA;NA;NA;2020-10-05T00:00:00Z;-18;-8;-1;-17;-18;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-06T00:00:00Z;-16;-7;37;-14;-18;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-07T00:00:00Z;-19;-6;0;-18;-18;3
AT;Austria;NA;NA;NA;NA;NA;2020-10-08T00:00:00Z;-19;-8;16;-17;-17;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-09T00:00:00Z;-20;-9;31;-16;-17;1
AT;Austria;NA;NA;NA;NA;NA;2020-10-10T00:00:00Z;-20;-12;15;-26;-9;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-11T00:00:00Z;-41;-30;-31;-32;-15;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-12T00:00:00Z;-20;-8;-11;-20;-17;3
AT;Austria;NA;NA;NA;NA;NA;2020-10-13T00:00:00Z;-23;-10;-12;-22;-18;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-14T00:00:00Z;-21;-9;-6;-20;-17;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-15T00:00:00Z;-22;-7;-17;-20;-17;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-16T00:00:00Z;-24;-10;-31;-24;-17;5
AT;Austria;NA;NA;NA;NA;NA;2020-10-17T00:00:00Z;-22;-14;-14;-31;-12;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-18T00:00:00Z;-31;-23;18;-25;-13;2
AT;Austria;NA;NA;NA;NA;NA;2020-10-19T00:00:00Z;-21;-13;3;-20;-16;3
AT;Austria;NA;NA;NA;NA;NA;2020-10-20T00:00:00Z;-21;-11;19;-20;-17;3
AT;Austria;NA;NA;NA;NA;NA;2020-10-21T00:00:00Z;-22;-12;16;-19;-16;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-22T00:00:00Z;-23;-9;9;-18;-17;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-23T00:00:00Z;-24;-6;-1;-21;-18;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-24T00:00:00Z;-26;-8;-10;-31;-12;4
AT;Austria;NA;NA;NA;NA;NA;2020-10-25T00:00:00Z;-25;-14;49;-25;-17;1
AT;Austria;NA;NA;NA;NA;NA;2020-10-26T00:00:00Z;-56;-87;58;-52;-80;19
AT;Austria;NA;NA;NA;NA;NA;2020-10-27T00:00:00Z;-18;4;-11;-27;-31;6
AT;Austria;NA;NA;NA;NA;NA;2020-10-28T00:00:00Z;-19;-8;25;-26;-30;6
AT;Austria;NA;NA;NA;NA;NA;2020-10-29T00:00:00Z;-24;-10;-24;-33;-31;8
AT;Austria;NA;NA;NA;NA;NA;2020-10-30T00:00:00Z;-23;-5;-24;-34;-31;8
AT;Austria;NA;NA;NA;NA;NA;2020-10-31T00:00:00Z;-24;-10;11;-28;-10;3
AT;Austria;NA;NA;NA;NA;NA;2020-11-01T00:00:00Z;-39;-26;-9;-32;-16;3
